,index,id-pesquisa,nome-pesquisa,id-agregado,nome-agregado
0,0,D5,Áreas Urbanizadas,8418,"Áreas urbanizadas, Loteamento vazio, Área total mapeada e Subcategorias"
1,1,CL,Cadastro Central de Empresas,1732,"Dados gerais das empresas por faixas de pessoal ocupado total, segundo seção, divisão e grupo da classificação de atividades, em nível Brasil, Grandes Regiões e Unidades da Federação da sede da empresa"
2,1,CL,Cadastro Central de Empresas,1735,"Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos"
3,1,CL,Cadastro Central de Empresas,1734,"Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção e divisão da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos das Capitais"
4,1,CL,Cadastro Central de Empresas,1733,"Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção, divisão e grupo da classificação de atividades, em nível Brasil, Grandes Regiões e Unidades da Federação"
5,1,CL,Cadastro Central de Empresas,2869,"Empresas e outras organizações e suas unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades, faixas de pessoal ocupado total e natureza jurídica, em nível Brasil, Grandes Regiões e Unidades da Federação da sede da empresa"
6,1,CL,Cadastro Central de Empresas,992,"Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e natureza jurídica"
7,1,CL,Cadastro Central de Empresas,6449,"Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
8,1,CL,Cadastro Central de Empresas,2933,"Empresas e outras organizações, por ano de fundação, seção da classificação de atividades e faixas de pessoal ocupado total"
9,1,CL,Cadastro Central de Empresas,993,"Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e ano de fundação"
10,1,CL,Cadastro Central de Empresas,2934,"Empresas, pessoal ocupado total e indicadores de concentração econômica em relação à variável pessoal ocupado total das maiores empresas, por seção, divisão e grupo da classificação de atividades"
11,1,CL,Cadastro Central de Empresas,994,"Empresas, pessoal ocupado total e indicadores de concentração econômica em relação à variável pessoal ocupado total das maiores empresas, por seção, divisão e grupo da classificação de atividades (CNAE 2.0)"
12,1,CL,Cadastro Central de Empresas,995,"Empresas, pessoal ocupado total e indicadores de diversificação espacial e de atividades no total de empresas e nas empresas com mais de uma unidade local, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e tipo de empresa"
13,1,CL,Cadastro Central de Empresas,2937,"Empresas, pessoal ocupado total e indicadores de diversificação espacial e de atividades no total de empresas e nas empresas com mais de uma unidade local, por seção, divisão e grupo da classificação de atividades e tipo de empresa"
14,1,CL,Cadastro Central de Empresas,1685,"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
15,1,CL,Cadastro Central de Empresas,3421,"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção e divisão da classificação de atividades (CNAE 2.0), para os municípios com 50.000 habitantes ou mais"
16,1,CL,Cadastro Central de Empresas,6450,"Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
17,1,CL,Cadastro Central de Empresas,988,"Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, salário médio mensal e pessoal assalariado médio, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e faixas de pessoal ocupado total (série encerrada)"
18,1,CL,Cadastro Central de Empresas,6703,"Unidades locais, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e natureza jurídica"
19,2,CA,Censo Agropecuário,1278,"Agroindústria rural nos estabelecimentos agropecuários, segundo indicadores da agricultura familiar e não familiar - FAO"
20,2,CA,Censo Agropecuário,512,Área colhida por produtos das lavouras permanentes e condição do produtor em relação às terras
21,2,CA,Censo Agropecuário,511,Área colhida por produtos das lavouras permanentes e grupo de atividade econômica
22,2,CA,Censo Agropecuário,510,Área colhida por produtos das lavouras permanentes e grupos de área total
23,2,CA,Censo Agropecuário,501,Área colhida por produtos das lavouras temporárias e condição do produtor em relação às terras
24,2,CA,Censo Agropecuário,502,Área colhida por produtos das lavouras temporárias e grupo de atividade econômica
25,2,CA,Censo Agropecuário,503,Área colhida por produtos das lavouras temporárias e grupos de área total
26,2,CA,Censo Agropecuário,264,Área dos estabelecimentos agropecuários por utilização das terras - série histórica (1970/2006)
27,2,CA,Censo Agropecuário,313,Área dos estabelecimentos por condição legal das terras e condição do produtor em relação às terras
28,2,CA,Censo Agropecuário,314,Área dos estabelecimentos por grupo de atividade econômica e condição legal das terras
29,2,CA,Censo Agropecuário,315,Área dos estabelecimentos por grupos de área total e condição legal das terras
30,2,CA,Censo Agropecuário,316,Área dos estabelecimentos por grupos de área total e utilização das terras
31,2,CA,Censo Agropecuário,491,"Área dos estabelecimentos por grupos de área total, grupo de atividade econômica e condição do produtor em relação às terras"
32,2,CA,Censo Agropecuário,318,Área dos estabelecimentos por utilização das terras e condição do produtor em relação às terras
33,2,CA,Censo Agropecuário,317,Área dos estabelecimentos por utilização das terras e grupo de atividade econômica
34,2,CA,Censo Agropecuário,1269,"Aves nos estabelecimentos agropecuários, segundo indicadores da agricultura familiar e não familiar - FAO"
35,2,CA,Censo Agropecuário,2390,"Composição de suínos no ano, nos estabelecimentos agropecuários, com agricultura familiar e não familiar, por plantel de suínos, condição do produtor em relação às terras e grupos de atividade econômica - (MDA)"
36,2,CA,Censo Agropecuário,4112,"Composição de suínos no ano, nos estabelecimentos agropecuários, por plantel de suínos e classificações de médio produtor"
37,2,CA,Censo Agropecuário,3169,"Composição de suínos no ano, nos estabelecimentos agropecuários, por plantel de suínos, condição do produtor em relação às terras e grupos de atividade econômica - (MDA - PRONAF)"
38,2,CA,Censo Agropecuário,936,"Composição de suínos no ano, nos estabelecimentos agropecuários, por plantel de suínos, condição do produtor em relação às terras, grupos de atividade econômica e grupos de área total"
39,2,CA,Censo Agropecuário,1672,"Composição de suínos no ano, nos estabelecimentos agropecuários, por plantel de suínos, grupos de cabeças e grupos de atividade econômica"
40,2,CA,Censo Agropecuário,944,"Compra de ovos para incubação no ano nos estabelecimentos agropecuários por condição do produtor em relação às terras, grupos de cabeças, grupos de atividade econômica e grupos de área total"
41,2,CA,Censo Agropecuário,3445,Compra de ovos para incubação no ano nos estabelecimentos agropecuários por indicadores da agricultura familiar e não familiar - FAO
42,2,CA,Censo Agropecuário,2402,"Compra de ovos para incubação no ano nos estabelecimentos agropecuários, com agricultura familiar e não familiar, por condição do produtor em relação às terras, finalidade da criação, grupos de cabeças e grupos de atividade econômica - (MDA)"
43,2,CA,Censo Agropecuário,3287,"Compra de ovos para incubação no ano nos estabelecimentos agropecuários, por condição do produtor em relação às terras, finalidade da criação, grupos de cabeças e grupos de atividade econômica - (MDA - PRONAF)"
44,2,CA,Censo Agropecuário,919,"Confinamento de bovinos nos estabelecimentos agropecuários com mais de 50 cabeças de bovinos em 31/12, por condição do produtor em relação às terras, grupos de atividade econômica e grupos de área total"
45,2,CA,Censo Agropecuário,960,"Efetivo da pecuária nos estabelecimentos agropecuários em 31/12 por espécie de efetivo, condição do produtor em relação às terras, grupos de atividade econômica e grupos de área total"
46,2,CA,Censo Agropecuário,3372,"Efetivo da pecuária nos estabelecimentos agropecuários em 31/12 por espécie de efetivo, sexo e residência do produtor, orientação técnica, origem da orientação técnica e nivel de instrução da pessoa que dirige o estabelecimento"
47,2,CA,Censo Agropecuário,4102,"Efetivo da pecuária nos estabelecimentos agropecuários em 31/12, por espécie de efetivo e classificações de médio produtor"
48,2,CA,Censo Agropecuário,1749,"Efetivo da pecuária nos estabelecimentos agropecuários, com agricultura familiar e não familiar, em 31/12 por espécie de efetivo, condição do produtor em relação às terras, grupos de atividade econômica e grupos de área total - (MDA)"
49,2,CA,Censo Agropecuário,814,"Efetivo da silvicultura no ano e pés existentes em 31/12 por condição do produtor em relação às terras, grupos de atividade econômica e grupos de área cortada"
50,2,CA,Censo Agropecuário,3408,"Efetivo da silvicultura no ano e pés existentes em 31/12, segundo indicadores da agricultura familiar e não familiar - FAO"
51,2,CA,Censo Agropecuário,1654,"Efetivo da silvicultura no ano nos estabelecimentos agropecuários e Número de pés existentes em 31/12, por condição do produtor em relação às terras, grupos de atividade econômica e grupos de área cortada - (MDA - PRONAF)"
52,2,CA,Censo Agropecuário,2220,"Efetivo da silvicultura no ano nos estabelecimentos agropecuários, com agricultura familiar e não familiar, e pés existentes em 31/12 por condição do produtor em relação às terras, grupos de atividade econômica e grupos de área cortada - (MDA)"
53,2,CA,Censo Agropecuário,281,Efetivo de animais em estabelecimentos agropecuários por espécie de efetivo - série histórica (1970/2006)
54,2,CA,Censo Agropecuário,1035,Efetivo de animais nos estabelecimentos agropecuários por tipo de efetivo - série histórica (1920/2006)
55,2,CA,Censo Agropecuário,952,"Efetivo de asininos nos estabelecimentos agropecuários em 31/12, por condição do produtor em relação às terras, grupos de atividade econômica e grupos de área total"
56,2,CA,Censo Agropecuário,942,"Efetivo de aves nos estabelecimentos agropecuários com mais de 2.000 cabeças em 31/12, por composição do efetivo, condição do produtor em relação às terras, finalidade da criação, grupos de atividade econômica e grupos de área total"
57,2,CA,Censo Agropecuário,1034,Efetivo de bovinos e Área média de pastagem por cabeça de bovino - série histórica (1920/2006)
58,2,CA,Censo Agropecuário,925,"Efetivo de bovinos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12, por composição do efetivo, condição do produtor em relação às terras, finalidade da criação, grupos de atividade econômica, grupos de área de pastagem e grupos de área total"
59,2,CA,Censo Agropecuário,927,"Efetivo de bovinos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12, total, confinados e que usam pastos comuns ou alugados fora do estabelecimento, por condição do produtor em relação às terras, finalidade da criação, grupos de cabeças e grupos de área de pastagem"
60,2,CA,Censo Agropecuário,2360,"Efetivo de bovinos nos estabelecimentos agropecuários em 31/12, com agricultura familiar e não familiar, por condição do produtor em relação às terras, grupos de cabeças, grupos de atividade econômica e grupos de área de pastagem - (MDA)"
61,2,CA,Censo Agropecuário,1729,"Efetivo de bovinos nos estabelecimentos agropecuários em 31/12, por condição do produtor em relação às terras, grupos de cabeças, grupos de atividade econômica e grupos de área de pastagem - (MDA - PRONAF)"
62,2,CA,Censo Agropecuário,922,"Efetivo de bovinos nos estabelecimentos agropecuários em 31/12, por condição do produtor em relação às terras, grupos de cabeças, grupos de atividade econômica, grupos de área de pastagem e grupos de área total"
63,2,CA,Censo Agropecuário,5450,"Efetivo de bovinos nos estabelecimentos agropecuários em 31/12, por grupos de cabeças, classe de idade e nível de instrução da pessoa que dirige o estabelecimento"
64,2,CA,Censo Agropecuário,957,"Efetivo de bubalinos nos estabelecimentos agropecuários em 31/12, por condição do produtor em relação às terras, grupos de cabeças, grupos de atividade econômica e grupos de área total"
65,2,CA,Censo Agropecuário,4106,"Efetivo de caprinos nos estabelecimentos agropecuários em 31/12, por classificações de médio produtor"
66,2,CA,Censo Agropecuário,961,"Efetivo de caprinos nos estabelecimentos agropecuários em 31/12, por condição do produtor em relação às terras, grupos de atividade econômica e grupos de área total"
67,2,CA,Censo Agropecuário,1668,"Efetivo de caprinos nos estabelecimentos agropecuários em 31/12, por grupos de cabeças e grupos de atividade econômica"
